"symbol","total_prices","stock_from_date","stock_to_date","total_earnings","earnings_from_date","earnings_to_date"
"CHSP","2436","2010-01-26","2019-10-15","39","2010-05-05","2019-08-01"
"CHT","4301","2003-10-09","2020-11-06","39","2009-08-27","2019-01-30"
"CHTR","2736","2010-01-05","2020-11-13","41","2010-11-03","2020-10-30"
"CHU","5129","2000-06-21","2020-11-06","16","2012-04-26","2016-03-16"
"CHUBA","468","2016-07-22","2018-06-07","0","NULL","NULL"
"CHUBK","468","2016-07-22","2018-06-07","0","NULL","NULL"
"CHUY","2093","2012-07-24","2020-11-13","34","2012-08-29","2020-11-05"
"CHW","3352","2007-07-26","2020-11-13","0","NULL","NULL"
"CHY","4399","2003-05-29","2020-11-13","0","NULL","NULL"
"CI","5748","1998-01-02","2020-11-03","46","2009-07-30","2020-11-05"
"CIA","5751","1998-01-02","2020-11-06","35","2009-05-07","2018-11-07"
"CIB","5751","1998-01-02","2020-11-06","43","2009-06-12","2020-08-06"
"CIBR","1352","2015-07-07","2020-11-13","0","NULL","NULL"
"CIC","454","2017-10-06","2019-09-06","0","NULL","NULL"
"CID","1320","2015-08-20","2020-11-13","0","NULL","NULL"
"CIDM","4284","2003-11-10","2020-11-13","44","2009-06-11","2020-08-14"
"CIEN","5751","1998-01-02","2020-11-06","46","2009-06-04","2020-09-03"
"CIF","5751","1998-01-02","2020-11-06","0","NULL","NULL"
"CIFS","825","2017-08-08","2020-11-13","2","2017-11-30","2018-05-15"
"CIG","5751","1998-01-02","2020-11-06","18","2009-05-14","2018-09-11"
"CIGI","5756","1998-01-02","2020-11-13","22","2015-08-05","2020-10-27"
"CIH","421","2019-03-14","2020-11-13","0","NULL","NULL"
"CII","4143","2004-05-26","2020-11-06","0","NULL","NULL"
"CIIC","193","2020-02-03","2020-11-04","0","NULL","NULL"
"CIICU","196","2019-12-13","2020-11-04","0","NULL","NULL"
"CIICW","133","2020-02-13","2020-11-04","0","NULL","NULL"
"CIK","5748","1998-01-02","2020-11-03","0","NULL","NULL"
"CIL","1311","2015-08-20","2020-11-02","0","NULL","NULL"
"CIM","3267","2007-11-16","2020-11-06","38","2009-05-04","2020-11-04"
"CINF","5756","1998-01-02","2020-11-13","46","2009-07-30","2020-10-26"
"CINR","1260","2015-11-06","2020-11-06","22","2014-02-12","2019-05-10"
"CIO","1655","2014-04-15","2020-11-06","26","2014-08-14","2020-11-05"
"CIR","5300","1999-10-18","2020-11-06","47","2009-07-29","2020-11-05"
"CISN","684","2017-05-22","2020-04-08","10","2017-08-09","2019-11-07"
"CIT","2747","2009-12-10","2020-11-06","43","2010-04-27","2020-10-16"
"CIU","2912","2007-01-11","2020-05-12","0","NULL","NULL"
"CIVB","5000","2001-01-02","2020-11-13","22","2015-07-24","2020-10-23"
"CIVBP","1473","2014-02-03","2020-01-29","0","NULL","NULL"
"CIVEC","90","2019-01-02","2019-05-10","0","NULL","NULL"
"CIVI","1142","2014-09-17","2019-06-28","18","2014-12-17","2019-02-04"
"CIX","5705","1998-03-06","2020-11-03","39","2009-05-01","2018-10-31"
"CIZ","1543","2014-10-01","2020-11-13","0","NULL","NULL"
"CIZN","5304","1999-10-19","2020-11-13","39","2009-07-24","2019-01-25"
"CJ","706","2017-01-12","2019-12-05","10","2017-05-09","2019-08-06"
"CJJD","3148","2008-05-16","2020-11-13","35","2010-06-30","2018-11-14"
"CKH","5247","2000-01-03","2020-11-06","47","2009-07-22","2020-10-29"
"CKPT","984","2016-12-19","2020-11-13","13","2017-08-09","2020-11-04"
"CKX","5365","1999-07-13","2020-11-03","30","2011-08-11","2018-11-09"
"CL","5741","1998-01-02","2020-10-23","46","2009-07-30","2020-10-30"
"CLAR","5657","1998-05-27","2020-11-13","28","2014-03-03","2020-11-09"
"CLB","5751","1998-01-02","2020-11-06","46","2009-07-22","2020-10-21"
"CLBK","644","2018-04-20","2020-11-06","8","2019-01-31","2020-10-29"
"CLBS","5466","1999-03-01","2020-11-13","22","2015-08-06","2020-11-05"
"CLCT","5291","1999-11-05","2020-11-13","40","2009-05-11","2019-02-05"
"CLD","2438","2009-11-20","2019-08-12","37","2010-05-12","2019-03-14"
"CLDB","4995","2001-01-02","2020-11-12","0","NULL","NULL"
"CLDC","1230","2014-10-22","2019-11-07","7","2016-08-15","2018-04-30"
"CLDR","890","2017-04-28","2020-11-06","14","2017-06-08","2020-09-02"
"CLDT","2661","2010-04-16","2020-11-06","42","2010-08-10","2020-10-29"
"CLDX","5756","1998-01-02","2020-11-13","46","2009-05-05","2020-11-05"
"CLEU","126","2020-05-08","2020-11-04","0","NULL","NULL"
"CLF","5751","1998-01-02","2020-11-06","46","2009-07-29","2020-10-23"
"CLFD","5756","1998-01-02","2020-11-13","47","2009-05-11","2020-11-04"
"CLGN","699","2018-01-30","2020-11-06","0","NULL","NULL"
"CLGX","5751","1998-01-02","2020-11-06","42","2010-08-05","2020-10-22"
"CLH","5751","1998-01-02","2020-11-06","47","2009-05-06","2020-11-04"
"CLI","5751","1998-01-02","2020-11-06","48","2009-07-30","2020-11-04"
"CLIR","2155","2012-04-25","2020-11-13","27","2012-06-11","2018-11-08"
"CLIRW","359","2017-01-27","2019-02-15","0","NULL","NULL"
"CLLS","1423","2015-03-25","2020-11-13","21","2015-06-09","2020-11-05"
"CLM","4597","2002-08-02","2020-11-03","0","NULL","NULL"
"CLMT","3728","2006-01-26","2020-11-13","47","2009-05-06","2020-11-06"
"CLNC","698","2018-02-01","2020-11-06","8","2019-02-28","2020-11-05"
"CLNE","3394","2007-05-25","2020-11-13","46","2009-05-07","2020-08-06"
"CLNS","1009","2014-06-27","2019-04-12","0","NULL","NULL"
"CLNY","1604","2014-06-27","2020-11-06","18","2014-02-20","2020-11-06"
"CLOU","396","2019-04-16","2020-11-06","0","NULL","NULL"
"CLPR","943","2017-02-10","2020-11-06","12","2017-03-30","2020-08-10"
"CLPS","620","2018-05-24","2020-11-06","0","NULL","NULL"
"CLPT","186","2020-02-12","2020-11-04","3","2020-05-12","2020-11-10"
"CLR","3397","2007-05-15","2020-11-06","47","2009-05-07","2020-11-05"
"CLRB","3779","2005-11-10","2020-11-13","28","2014-03-25","2020-11-09"
"CLRBW","1250","2014-08-15","2019-08-20","0","NULL","NULL"
"CLRBZ","880","2016-04-20","2020-11-13","0","NULL","NULL"
"CLRG","736","2017-12-13","2020-11-13","0","NULL","NULL"
"CLRO","5756","1998-01-02","2020-11-13","36","2009-10-14","2018-11-13"
"CLS","5628","1998-06-30","2020-11-06","46","2009-07-23","2020-10-28"
"CLSD","1123","2016-06-02","2020-11-13","19","2016-08-11","2020-11-10"
"CLSK","1201","2016-01-29","2020-11-04","3","2020-02-10","2020-08-04"
"CLSN","5466","1999-03-01","2020-11-13","45","2009-05-12","2020-08-14"
"CLUB","3634","2006-06-02","2020-11-05","43","2009-07-29","2019-11-05"
"CLVS","2264","2011-11-16","2020-11-13","36","2012-03-07","2020-11-05"
"CLW","3002","2008-12-05","2020-11-06","46","2009-07-30","2020-11-03"
"CLWT","5756","1998-01-02","2020-11-13","1","2016-04-28","2016-04-28"
"CLX","5751","1998-01-02","2020-11-06","47","2009-05-01","2020-11-02"
"CLXT","838","2017-07-20","2020-11-13","15","2017-09-01","2020-11-05"
"CM","5751","1998-01-02","2020-11-06","43","2009-05-28","2020-08-27"
"CMA","5751","1998-01-02","2020-11-06","46","2009-07-21","2020-10-20"
"CMBM","345","2019-06-26","2020-11-04","6","2019-08-08","2020-11-05"
"CMC","5751","1998-01-02","2020-11-06","46","2009-06-24","2020-10-15"
"CMCL","844","2017-06-29","2020-11-03","9","2017-08-14","2020-11-12"
"CMCM","1639","2014-05-08","2020-11-06","23","2014-06-02","2019-11-13"
"CMCO","5756","1998-01-02","2020-11-13","48","2009-05-20","2020-10-29"
"CMCSA","5756","1998-01-02","2020-11-13","46","2009-08-06","2020-10-29"
"CMCT","5756","1998-01-02","2020-11-13","20","2014-05-12","2020-11-09"
"CMD","5751","1998-01-02","2020-11-06","26","2014-03-11","2020-09-17"
"CME","4517","2002-12-06","2020-11-13","46","2009-07-23","2020-10-28"
"CMFN","1407","2014-02-06","2019-11-07","21","2014-05-14","2019-05-07"
"CMFNL","531","2018-07-13","2020-11-06","0","NULL","NULL"
"CMG","3723","2006-01-26","2020-11-06","46","2009-07-22","2020-10-21"
"CMI","5751","1998-01-02","2020-11-06","46","2009-07-30","2020-10-27"
"CMLFU","45","2020-09-02","2020-11-04","0","NULL","NULL"
"CMLS","4829","2001-01-02","2020-11-06","23","2014-04-29","2020-11-05"
"CMO","5751","1998-01-02","2020-11-06","46","2009-07-29","2020-10-28"
"CMP","4256","2003-12-12","2020-11-06","46","2009-07-28","2020-11-04"
"CMPI","64","2020-08-07","2020-11-05","1","2020-09-18","2020-09-18"
"CMPR","3808","2005-09-30","2020-11-13","24","2015-01-28","2020-10-28"
"CMPS","34","2020-09-18","2020-11-04","1","2020-11-12","2020-11-12"
"CMRE","2520","2010-11-04","2020-11-06","41","2010-11-22","2020-10-27"
"CMRX","1915","2013-04-11","2020-11-13","31","2013-05-13","2020-11-05"
"CMS","5751","1998-01-02","2020-11-06","46","2009-07-30","2020-10-29"
"CMSA","672","2018-03-12","2020-11-06","0","NULL","NULL"
"CMSC","531","2018-10-01","2020-11-06","0","NULL","NULL"
"CMSD","439","2019-02-21","2020-11-13","0","NULL","NULL"
"CMSS","428","2017-11-06","2019-07-26","3","2017-12-05","2018-11-13"
"CMSSR","192","2017-11-06","2019-05-07","0","NULL","NULL"
"CMSSU","178","2017-10-26","2019-06-28","0","NULL","NULL"
"CMSSW","233","2017-11-06","2019-06-27","0","NULL","NULL"
"CMT","5748","1998-01-02","2020-11-03","39","2009-05-07","2018-11-08"
"CMTA","432","2017-08-02","2019-08-22","7","2017-11-13","2019-03-29"
"CMTL","5756","1998-01-02","2020-11-13","46","2009-06-03","2020-09-29"
"CMU","5751","1998-01-02","2020-11-06","0","NULL","NULL"
"CNA","5751","1998-01-02","2020-11-06","47","2009-05-04","2020-11-02"
"CNAC","514","2017-08-10","2019-09-05","0","NULL","NULL"
"CNACR","303","2017-08-10","2019-08-29","0","NULL","NULL"
"CNACU","302","2017-06-20","2019-08-22","0","NULL","NULL"
"CNACW","303","2017-08-10","2019-08-29","0","NULL","NULL"
"CNAT","1842","2013-07-25","2020-11-13","25","2013-11-14","2019-11-05"
"CNBKA","5756","1998-01-02","2020-11-13","39","2009-07-14","2019-01-15"
"CNC","4759","2001-12-13","2020-11-06","46","2009-07-28","2020-10-27"
"CNCE","1702","2014-02-13","2020-11-13","28","2014-03-31","2020-11-05"
"CNCR","1282","2015-10-14","2020-11-13","0","NULL","NULL"
"CNDT","970","2017-01-03","2020-11-06","15","2017-02-22","2020-11-05"
"CNET","2834","2009-08-14","2020-11-13","32","2010-03-31","2018-11-20"
"CNF","500","2018-11-13","2020-11-06","0","NULL","NULL"
"CNFR","1325","2015-08-13","2020-11-13","22","2015-09-14","2020-11-11"
"CNFRL","501","2018-10-31","2020-11-06","0","NULL","NULL"
"CNHI","1791","2013-09-30","2020-11-06","28","2014-01-30","2020-11-05"
"CNI","5751","1998-01-02","2020-11-06","46","2009-07-20","2020-10-20"
"CNIT","2953","2006-09-12","2018-06-07","0","NULL","NULL"
"CNK","3412","2007-04-24","2020-11-06","46","2009-05-07","2020-11-05"
"CNMD","5756","1998-01-02","2020-11-13","46","2009-07-30","2020-10-28"
"CNNB","803","2017-06-21","2020-11-04","0","NULL","NULL"
"CNNE","747","2017-11-20","2020-11-06","12","2018-03-14","2020-11-09"
"CNO","4322","2003-09-10","2020-11-06","47","2009-05-11","2020-11-02"
"CNOB","5756","1998-01-02","2020-11-13","29","2013-07-25","2020-07-30"
"CNP","5751","1998-01-02","2020-11-06","46","2009-08-05","2020-11-05"
"CNQ","5102","2000-07-31","2020-11-06","47","2009-05-07","2020-11-05"
"CNR","5756","1998-01-02","2020-11-13","6","2019-08-07","2020-11-10"
"CNS","4088","2004-08-16","2020-11-06","46","2009-07-22","2020-10-21"
"CNSL","3857","2005-07-22","2020-11-13","47","2009-05-07","2020-10-29"
"CNSP","250","2019-11-08","2020-11-04","5","2019-12-20","2020-11-12"
"CNST","582","2018-07-19","2020-11-06","9","2019-02-14","2020-10-29"
"CNTF","3618","2005-05-06","2019-09-20","28","2009-05-19","2016-03-28"
"CNTG","251","2019-11-07","2020-11-04","3","2020-04-23","2020-09-23"
"CNTX","1121","2014-08-20","2019-02-01","0","NULL","NULL"
"CNTY","5756","1998-01-02","2020-11-13","47","2009-05-11","2020-11-06"
"CNX","5418","1999-04-30","2020-11-06","45","2009-07-30","2020-10-29"
"CNXM","689","2018-01-04","2020-09-29","24","2014-10-30","2020-07-30"
"CNXN","5716","1998-03-03","2020-11-13","28","2014-01-30","2020-11-09"
"CO","3401","2007-05-09","2020-11-06","36","2010-03-05","2018-11-27"
"COBZ","4666","2000-01-03","2018-07-19","0","NULL","NULL"
"COCP","2367","2011-05-19","2020-11-06","7","2019-04-01","2020-08-06"
"CODA","3030","2008-10-22","2020-11-13","13","2017-09-14","2020-09-14"
"CODI","3645","2006-05-18","2020-11-06","46","2009-05-08","2020-07-29"
"CODX","844","2017-07-12","2020-11-13","8","2019-04-02","2020-08-13"
"COE","1112","2016-06-10","2020-11-06","13","2016-08-23","2020-09-08"
"COF","5751","1998-01-02","2020-11-06","46","2009-07-23","2020-10-22"
"COFS","4736","2001-12-31","2020-11-04","0","NULL","NULL"
"COG","5751","1998-01-02","2020-11-06","45","2009-07-23","2020-10-29"
"COGT","2592","2007-12-27","2018-04-13","0","NULL","NULL"
"COHN","4154","2004-05-06","2020-11-03","25","2010-03-04","2018-10-31"
"COHR","5756","1998-01-02","2020-11-13","47","2009-05-07","2020-11-10"
"COHU","5756","1998-01-02","2020-11-13","48","2009-07-22","2020-10-29"
"COKE","5756","1998-01-02","2020-11-13","47","2009-05-07","2020-11-03"
"COL","4393","2001-06-15","2019-04-15","0","NULL","NULL"
"COLB","5756","1998-01-02","2020-11-13","46","2009-07-23","2020-10-29"
"COLD","707","2018-01-19","2020-11-06","10","2018-05-10","2020-11-05"
"COLL","1393","2015-05-07","2020-11-13","23","2015-08-12","2020-11-05"
"COLM","5698","1998-03-27","2020-11-13","46","2009-07-28","2020-10-29"
"COMM","1768","2013-10-25","2020-11-02","29","2013-11-07","2020-11-05"
"COMT","1532","2014-10-16","2020-11-13","0","NULL","NULL"
"CONE","1971","2013-01-18","2020-11-13","31","2013-05-08","2020-10-28"
"CONN","4273","2003-11-25","2020-11-13","46","2009-06-04","2020-09-03"
"COO","5751","1998-01-02","2020-11-06","46","2009-06-04","2020-09-03"
"COOL","4808","1999-08-17","2019-05-21","0","NULL","NULL"
"COOP","1960","2012-03-28","2020-01-10","11","2016-08-05","2020-07-30"
"COP","5751","1998-01-02","2020-11-06","46","2009-07-29","2020-10-29"
"COR","2550","2010-09-23","2020-11-06","41","2010-11-12","2020-10-29"
"CORE","3927","2005-04-13","2020-11-13","47","2009-05-08","2020-11-05"
"CORI","1094","2014-04-03","2018-08-06","0","NULL","NULL"
"CORR","3467","2007-02-02","2020-11-06","31","2013-02-13","2020-11-02"
"CORT","4178","2004-04-14","2020-11-13","46","2009-05-11","2020-11-03"
"CORV","4246","2003-07-17","2020-07-02","21","2014-03-27","2020-03-30"
"COST","5756","1998-01-02","2020-11-13","46","2009-05-28","2020-09-24"
"COT","5748","1998-01-02","2020-11-03","43","2009-07-27","2020-02-20"
"COTV","541","2016-05-26","2018-07-19","0","NULL","NULL"
"COTY","1866","2013-06-13","2020-11-06","30","2013-09-17","2020-11-06"
"COUP","1445","2014-03-07","2020-11-13","16","2016-12-05","2020-09-08"
"COWN","3612","2006-07-13","2020-11-13","45","2009-05-07","2020-10-27"
"COWNL","1406","2014-10-30","2020-11-06","0","NULL","NULL"
"COWNZ","734","2017-12-15","2020-11-13","0","NULL","NULL"
"CP","5751","1998-01-02","2020-11-06","46","2009-07-30","2020-10-20"
"CPA","3750","2005-12-15","2020-11-06","46","2009-05-06","2020-08-05"
"CPAA","500","2016-09-15","2020-11-04","0","NULL","NULL"
"CPAAU","512","2016-07-15","2020-11-04","0","NULL","NULL"
"CPAAW","371","2016-09-15","2020-11-04","0","NULL","NULL"
"CPAC","2194","2012-02-22","2020-11-06","32","2012-07-27","2020-10-28"
"CPAH","4182","2004-04-07","2020-11-13","35","2009-12-15","2018-09-13"
"CPB","5751","1998-01-02","2020-11-06","46","2009-05-21","2020-09-03"
"CPE","5751","1998-01-02","2020-11-06","47","2009-05-11","2020-11-03"
"CPF","5751","1998-01-02","2020-11-06","45","2009-10-29","2020-10-28"
"CPG","3602","2006-07-20","2020-11-06","28","2014-03-12","2020-10-29"
"CPHC","3070","2008-09-08","2020-11-13","39","2009-05-13","2018-11-14"
"CPHI","4672","2002-04-17","2020-11-03","39","2009-05-15","2018-11-15"
"CPIX","2837","2009-08-11","2020-11-13","46","2009-08-27","2020-11-10"
"CPK","5751","1998-01-02","2020-11-06","47","2009-05-04","2020-11-04"
"CPL","3864","2004-09-29","2020-02-28","33","2009-05-14","2018-11-13"
"CPLA","2941","2006-11-10","2018-07-19","0","NULL","NULL"
"CPLG","616","2018-05-31","2020-11-06","8","2019-02-26","2020-08-10"
"CPLP","3433","2007-03-30","2020-11-13","45","2009-07-31","2020-11-02"
"CPN","2561","2008-01-10","2018-07-19","0","NULL","NULL"
"CPRI","2239","2011-12-15","2020-11-06","23","2014-02-04","2020-11-05"
"CPRT","5756","1998-01-02","2020-11-13","45","2009-06-03","2020-09-02"
"CPRX","3529","2006-11-08","2020-11-13","47","2009-05-14","2020-11-09"
"CPS","2632","2010-05-27","2020-11-06","29","2013-10-30","2020-11-05"
"CPSH","5756","1998-01-02","2020-11-13","35","2009-08-11","2018-10-31"
"CPSI","4656","2002-05-21","2020-11-13","46","2009-07-23","2020-11-05"
"CPSS","5756","1998-01-02","2020-11-13","45","2009-08-14","2020-10-19"
"CPST","5127","2000-06-30","2020-11-13","47","2009-06-15","2020-11-10"
"CPT","5751","1998-01-02","2020-11-06","46","2009-07-30","2020-10-29"
"CPTA","1799","2013-09-25","2020-11-13","29","2013-11-13","2020-11-03"
"CPTAG","869","2017-06-02","2020-11-13","0","NULL","NULL"
"CPTAL","878","2017-05-23","2020-11-13","0","NULL","NULL"
"CPZ","238","2019-11-26","2020-11-04","0","NULL","NULL"
"CQH","1257","2013-12-13","2018-12-18","0","NULL","NULL"
"CQP","3432","2007-03-21","2020-11-03","46","2009-05-08","2020-11-06"
"CR","5751","1998-01-02","2020-11-06","46","2009-07-27","2020-10-26"
"CRAI","5679","1998-04-24","2020-11-13","45","2009-06-09","2020-10-29"
"CRAY","5468","1998-01-02","2019-09-25","41","2009-08-04","2019-08-02"
"CRBP","1514","2014-11-11","2020-11-13","24","2015-02-10","2020-11-10"
"CRC","1435","2014-11-13","2020-11-06","22","2015-02-19","2020-06-25"
"CRCM","1528","2014-01-24","2020-07-02","24","2014-02-26","2019-11-06"
"CRDF","4100","2004-07-27","2020-11-04","2","2020-08-11","2020-11-05"
"CRED","2918","2007-01-11","2020-05-22","0","NULL","NULL"
"CREE","5756","1998-01-02","2020-11-13","46","2009-08-11","2020-10-28"
"CREG","4022","2004-11-24","2020-11-13","34","2009-08-21","2018-05-15"
"CRESY","5756","1998-01-02","2020-11-13","29","2010-05-14","2018-11-12"
"CREX","1866","2013-05-31","2020-11-06","18","2014-12-01","2020-11-12"
"CREXW","264","2018-11-15","2020-11-06","0","NULL","NULL"
"CRF","5748","1998-01-02","2020-11-03","0","NULL","NULL"
"CRH","5751","1998-01-02","2020-11-06","0","NULL","NULL"
"CRHM","1302","2015-09-03","2020-11-03","14","2015-10-29","2019-03-13"
"CRI","4290","2003-10-24","2020-11-06","46","2009-07-28","2020-10-23"
"CRIS","5106","2000-08-01","2020-11-13","42","2009-05-05","2020-11-10"
"CRK","5751","1998-01-02","2020-11-06","45","2009-05-04","2020-11-04"
"CRL","5127","2000-06-23","2020-11-06","47","2009-05-05","2020-10-29"
"CRM","4125","2004-06-23","2020-11-06","46","2009-05-21","2020-08-25"
"CRMD","2639","2010-05-13","2020-11-03","41","2010-11-09","2020-11-05"
"CRME","3738","2003-07-15","2018-06-07","0","NULL","NULL"
"CRMT","5756","1998-01-02","2020-11-13","45","2009-06-23","2020-08-17"
"CRNC","289","2019-09-16","2020-11-04","3","2020-02-11","2020-08-04"
"CRNT","5103","2000-08-04","2020-11-13","46","2009-07-20","2020-11-02"
"CRNX","583","2018-07-18","2020-11-06","10","2019-02-12","2020-11-06"
"CRON","1091","2016-07-12","2020-11-06","7","2019-03-26","2020-11-05"
"CROX","3719","2006-02-08","2020-11-13","47","2009-05-07","2020-10-27"
"CRR","5535","1998-01-02","2020-03-27","42","2009-07-30","2019-11-08"
"CRS","5751","1998-01-02","2020-11-06","46","2009-07-30","2020-10-22"
"CRSA","394","2019-04-18","2020-11-06","0","NULL","NULL"
"CRSAU","310","2019-03-08","2020-11-13","0","NULL","NULL"
"CRSAW","193","2019-04-17","2020-11-06","0","NULL","NULL"
"CRSP","1026","2016-10-19","2020-11-13","17","2016-11-22","2020-10-28"
"CRSR","31","2020-09-23","2020-11-04","1","2020-11-10","2020-11-10"
"CRT","5751","1998-01-02","2020-11-06","33","2010-10-25","2018-11-06"
"CRTD","1576","2013-12-06","2020-11-04","0","NULL","NULL"
"CRTDW","39","2020-09-11","2020-11-04","0","NULL","NULL"
"CRTO","1774","2013-10-30","2020-11-13","29","2013-11-14","2020-10-28"
"CRTX","385","2019-05-09","2020-11-13","8","2019-06-12","2020-11-12"
"CRUS","5756","1998-01-02","2020-11-13","46","2009-07-22","2020-11-02"
"CRUSC","393","2018-01-11","2019-08-30","0","NULL","NULL"
"CRVL","5756","1998-01-02","2020-11-13","40","2009-06-04","2019-02-05"
"CRVP","4586","2000-01-03","2018-03-26","0","NULL","NULL"
"CRVS","1172","2016-03-23","2020-11-13","19","2016-05-05","2020-10-29"
"CRWD","362","2019-06-12","2020-11-13","6","2019-07-18","2020-09-02"
"CRWS","4308","2003-10-07","2020-11-13","47","2009-07-01","2020-11-10"
"CRY","5751","1998-01-02","2020-11-06","46","2009-07-30","2020-11-04"
"CRZO","5531","1998-01-02","2020-01-29","42","2009-05-11","2019-11-04"
"CS","5751","1998-01-02","2020-11-06","37","2009-11-05","2019-07-31"
"CSA","1351","2015-07-08","2020-11-13","0","NULL","NULL"
"CSB","1351","2015-07-08","2020-11-13","0","NULL","NULL"
"CSBK","3498","2004-05-11","2018-06-07","0","NULL","NULL"
"CSBR","3472","2007-02-02","2020-11-13","43","2009-09-14","2020-09-14"
"CSCO","5756","1998-01-02","2020-11-13","47","2009-05-06","2020-11-12"
"CSF","1585","2014-08-01","2020-11-13","0","NULL","NULL"
"CSFL","4869","2001-01-30","2020-06-30","42","2009-10-23","2020-04-23"
"CSGP","5632","1998-07-01","2020-11-13","46","2009-07-22","2020-10-27"
"CSGS","5756","1998-01-02","2020-11-13","46","2009-07-28","2020-11-04"
"CSII","3622","2006-06-28","2020-11-13","47","2009-05-06","2020-11-04"
"CSIQ","3528","2006-11-09","2020-11-13","46","2009-05-26","2020-08-07"
"CSJ","2914","2007-01-11","2020-03-23","0","NULL","NULL"
"CSL","5751","1998-01-02","2020-11-06","46","2009-07-22","2020-10-20"
"CSLT","1677","2014-03-14","2020-11-06","27","2014-05-07","2020-07-28"
"CSML","883","2017-05-16","2020-11-13","0","NULL","NULL"
"CSOD","2434","2011-03-17","2020-11-13","39","2011-05-12","2020-11-05"
"CSPI","5756","1998-01-02","2020-11-13","39","2009-05-06","2018-12-27"
"CSQ","4186","2004-04-01","2020-11-13","0","NULL","NULL"
"CSRA","590","2015-11-30","2018-04-04","0","NULL","NULL"
"CSS","5578","1998-01-02","2020-03-26","42","2009-05-21","2019-08-01"
"CSSE","817","2017-08-18","2020-11-13","12","2017-10-02","2020-11-12"
"CSSEN","76","2020-07-21","2020-11-04","0","NULL","NULL"
"CSSEP","597","2018-06-27","2020-11-06","0","NULL","NULL"
"CSTE","2178","2012-03-22","2020-11-13","33","2012-05-08","2020-05-06"
"CSTL","325","2019-07-25","2020-11-04","5","2019-09-03","2020-11-09"
"CSTM","1880","2013-05-23","2020-11-06","29","2013-08-29","2020-10-27"
"CSTR","1045","2016-09-22","2020-11-13","17","2016-10-27","2020-10-22"
"CSU","5751","1998-01-02","2020-11-06","47","2009-05-05","2020-11-05"
"CSV","5751","1998-01-02","2020-11-06","47","2009-05-06","2020-10-27"
"CSWC","5756","1998-01-02","2020-11-13","32","2012-02-08","2020-10-30"
"CSWCL","733","2017-12-18","2020-11-13","0","NULL","NULL"
"CSWI","1291","2015-10-01","2020-11-13","21","2015-11-16","2020-10-30"
"CSX","5756","1998-01-02","2020-11-13","46","2009-07-13","2020-10-21"
"CTAA","1203","2016-02-01","2020-11-06","0","NULL","NULL"
"CTAC","508","2018-10-30","2020-11-06","0","NULL","NULL"
"CTACU","351","2018-10-05","2020-04-09","0","NULL","NULL"
"CTACW","112","2018-10-31","2019-11-22","0","NULL","NULL"
"CTAS","5756","1998-01-02","2020-11-13","46","2009-07-15","2020-09-23"
"CTB","5751","1998-01-02","2020-11-06","47","2009-05-06","2020-10-29"
"CTBB","1061","2016-08-23","2020-11-06","0","NULL","NULL"
"CTBI","5756","1998-01-02","2020-11-13","46","2009-07-15","2020-10-21"
"CTDD","890","2017-04-28","2020-11-06","0","NULL","NULL"
"CTEK","795","2017-09-08","2020-11-03","38","2011-05-17","2020-11-12"
"CTG","5756","1998-01-02","2020-11-13","30","2013-07-22","2020-10-20"
"CTHR","5756","1998-01-02","2020-11-13","45","2009-05-05","2020-11-05"
"CTIB","4199","2003-05-29","2020-01-31","39","2009-05-14","2018-11-13"
"CTIC","5756","1998-01-02","2020-11-13","47","2009-05-07","2020-11-10"
"CTK","532","2018-09-28","2020-11-06","9","2019-02-13","2020-08-18"
"CTL","5751","1998-01-02","2020-11-06","45","2009-08-06","2020-08-05"
"CTLT","1581","2014-07-31","2020-11-06","26","2014-09-04","2020-11-03"
"CTMX","1286","2015-10-08","2020-11-13","21","2015-11-23","2020-11-05"
"CTO","5748","1998-01-02","2020-11-03","46","2009-07-16","2020-10-28"
"CTR","2106","2012-06-27","2020-11-06","0","NULL","NULL"
"CTRA","1063","2016-08-18","2020-11-06","8","2019-04-01","2020-11-09"
"CTRC","4973","2001-01-02","2020-10-09","14","2014-02-13","2017-11-14"
"CTRE","1630","2014-05-29","2020-11-13","25","2014-08-13","2020-11-05"
"CTRL","1512","2013-08-02","2019-08-30","24","2013-08-29","2019-05-09"
"CTRM","445","2019-02-11","2020-11-12","0","NULL","NULL"
"CTRN","3902","2005-05-18","2020-11-13","42","2009-05-20","2019-08-22"
"CTRP","4117","2003-12-09","2020-04-17","42","2009-05-11","2019-09-09"
"CTRV","1376","2014-02-11","2019-08-27","9","2015-05-14","2018-05-15"
"CTS","5751","1998-01-02","2020-11-06","46","2009-07-27","2020-10-29"
"CTSH","5640","1998-06-19","2020-11-13","47","2009-05-05","2020-10-28"
"CTSO","1499","2013-11-07","2020-11-13","31","2013-04-03","2020-11-04"
"CTST","659","2017-08-24","2020-04-27","1","2019-03-28","2019-03-28"
"CTT","218","2017-09-07","2018-07-19","28","2014-03-13","2020-10-29"
"CTU","1532","2012-08-03","2019-04-02","0","NULL","NULL"
"CTV","1474","2014-09-30","2020-08-06","0","NULL","NULL"
"CTVA","374","2019-05-24","2020-11-13","6","2019-08-01","2020-11-04"
"CTW","1589","2012-05-10","2018-08-31","0","NULL","NULL"
"CTWS","5478","1998-01-02","2019-10-09","41","2009-05-08","2019-08-08"
"CTX","1607","2012-04-03","2019-04-02","0","NULL","NULL"
